"State","5 Stars","4 Stars","3 Stars","2 Stars","1 Star"
AK,0.000-19.333,19.334-37.333,37.334-75.833,75.834-105.583,>105.583
AL,0.000-6.000,6.001-14.667,14.668-22.667,22.668-38.000,>38.000
AR,0.000-29.333,29.334-50.667,50.668-66.000,66.001-86.000,>86.000
AZ,0.000-12.000,12.001-22.667,22.668-35.000,35.001-57.333,>57.333
CA,0.000-36.667,36.668-66.667,66.668-99.000,99.001-158.833,>158.833
CO,0.000-21.333,21.334-42.500,42.501-64.000,64.001-107.167,>107.167
CT,0.000-17.333,17.334-34.000,34.001-49.333,49.334-77.333,>77.333
DC,0.000-30.667,30.668-80.333,80.334-136.000,136.001-212.333,>212.333
DE,0.000-27.333,27.334-50.000,50.001-69.500,69.501-106.000,>106.000
FL,0.000-9.333,9.334-24.000,24.001-42.000,42.001-83.667,>83.667
GA,0.000-6.000,6.001-20.000,20.001-36.667,36.668-72.667,>72.667
GU,0.000-13.333,13.334-34.000,34.001-60.667,60.668-114.667,>114.667
HI,0.000-34.667,34.668-56.667,56.668-79.500,79.501-114.667,>114.667
IA,0.000-6.667,6.668-20.667,20.668-50.000,50.001-104.333,>104.333
ID,0.000-19.667,19.668-40.000,40.001-60.667,60.668-92.000,>92.000
IL,0.000-27.333,27.334-61.333,61.334-108.167,108.168-203.333,>203.333
IN,0.000-12.000,12.001-26.000,26.001-42.667,42.668-77.250,>77.250
KS,0.000-24.000,24.001-43.333,43.334-65.333,65.334-113.333,>113.333
KY,0.000-7.333,7.334-17.333,17.334-30.667,30.668-78.833,>78.833
LA,0.000-16.000,16.001-34.000,34.001-54.000,54.001-108.000,>108.000
MA,0.000-18.000,18.001-42.000,42.001-68.000,68.001-124.667,>124.667
MD,0.000-28.000,28.001-53.333,53.334-83.167,83.168-138.333,>138.333
ME,0.000-15.667,15.668-33.333,33.334-47.333,47.334-69.667,>69.667
MI,0.000-27.333,27.334-54.667,54.668-88.000,88.001-148.000,>148.000
MN,0.000-11.333,11.334-28.667,28.668-50.667,50.668-83.833,>83.833
MO,0.000-23.333,23.334-50.000,50.001-84.000,84.001-151.917,>151.917
MS,0.000-8.667,8.668-19.333,19.334-30.000,30.001-58.667,>58.667
MT,0.000-17.333,17.334-39.333,39.334-56.667,56.668-124.333,>124.333
NC,0.000-6.667,6.668-24.667,24.668-52.833,52.834-117.333,>117.333
ND,0.000-10.667,10.668-22.000,22.001-35.667,35.668-63.333,>63.333
NE,0.000-14.667,14.668-26.667,26.668-38.667,38.668-64.000,>64.000
NH,0.000-6.667,6.668-13.333,13.334-23.333,23.334-39.333,>39.333
NJ,0.000-10.667,10.668-23.333,23.334-37.333,37.334-69.333,>69.333
NM,0.000-53.333,53.334-101.333,101.334-147.333,147.334-232.000,>232.000
NV,0.000-26.667,26.668-41.333,41.334-64.667,64.668-109.333,>109.333
NY,0.000-10.667,10.668-19.333,19.334-30.000,30.001-46.667,>46.667
OH,0.000-15.333,15.334-40.000,40.001-63.667,63.668-109.750,>109.750
OK,0.000-14.000,14.001-35.333,35.334-57.333,57.334-90.000,>90.000
OR,0.000-30.000,30.001-58.667,58.668-84.667,84.668-136.667,>136.667
PA,0.000-7.333,7.334-28.000,28.001-56.667,56.668-110.000,>110.000
PR,0.000-32.000,32.001-66.667,66.668-124.000,124.001-174.333,>174.333
RI,0.000-18.000,18.001-51.333,51.334-93.333,93.334-159.333,>159.333
SC,0.000-8.000,8.001-22.667,22.668-42.667,42.668-68.333,>68.333
SD,0.000-6.000,6.001-15.333,15.334-30.667,30.668-66.000,>66.000
TN,0.000-8.000,8.001-18.667,18.668-34.000,34.001-93.667,>93.667
TX,0.000-19.333,19.334-40.667,40.668-69.000,69.001-134.500,>134.500
UT,0.000-8.000,8.001-30.667,30.668-45.333,45.334-101.333,>101.333
VA,0.000-19.333,19.334-38.000,38.001-67.000,67.001-119.600,>119.600
VT,0.000-2.667,2.668-20.000,20.001-52.667,52.668-128.667,>128.667
WA,0.000-39.333,39.334-77.333,77.334-116.000,116.001-183.333,>183.333
WI,0.000-9.333,9.334-26.000,26.001-48.667,48.668-119.750,>119.750
WV,0.000-36.667,36.668-58.000,58.001-93.333,93.334-152.000,>152.000
WY,0.000-13.333,13.334-26.667,26.668-46.000,46.001-85.000,>85.000
